"","XCDENMID.result","XCDENMID.count","XCDENMID.sd","XCDENBK.result","XCDENBK.count","XCDENBK.sd"
"SMC04264 2010-07-09",64.572192513369,44,31.0355755021692,NA,0,NA
"SMC04308 2009-06-17",56.4171122994652,44,40.4830847514228,NA,0,NA
"SMC04383 2010-06-09",50,44,35.0997841862817,NA,0,NA
"SMC04399 2009-06-11",28.4074605451937,41,36.6622676170502,NA,0,NA
"SMC04426 2011-07-25",43.1818181818182,44,22.4421569662856,NA,0,NA
"SMC04661 2011-07-18",25.9358288770053,44,26.8011937455859,NA,0,NA
"SMC04682 2011-07-25",50.4010695187166,44,26.6228400667088,NA,0,NA
"SMC04748 2009-07-02",6.77749360613811,46,13.1221681768462,0,2,0
"SMC04749 2009-06-23",1.20320855614973,44,3.71589974664104,NA,0,NA
"SMC04756 2010-07-07",35.0267379679144,44,35.018406578759,NA,0,NA
"SMC04795 2011-07-14",94.2513368983957,44,16.8056900032726,NA,0,NA
"SMC04932 2010-07-12",9.49197860962567,44,22.3441522461856,NA,0,NA
"SMC05109 2009-06-23",69.7860962566845,44,26.7492825208316,NA,0,NA
"SMC05199 2011-07-06",87.7005347593583,44,18.5504378486398,NA,0,NA
"SMC05243 2010-06-10",18.3823529411765,40,29.1903430018812,NA,0,NA
"SMC05402 2011-07-28",50.4010695187166,44,29.5726850123146,NA,0,NA
"SMC05407 2011-07-21",21.6577540106952,44,23.3843932989533,NA,0,NA
"SMC05524 2011-06-30",0,44,0,NA,0,NA
"SMC05759 2010-06-21",3.07486631016043,44,10.8753174553937,NA,0,NA
"SMC06019 2010-06-17",0.802139037433155,44,3.25690063892067,NA,0,NA
"SMC06216 2009-05-26",23.6631016042781,44,27.8082339926163,NA,0,NA
"SMC06467 2010-06-28",87.8342245989305,44,14.5972858863217,NA,0,NA
"SMC06653 2010-07-01",1.60427807486631,44,6.87443115870337,NA,0,NA
"SMC06863 2011-07-21",60.2941176470588,44,26.6749973575766,NA,0,NA
"SMC06926 2009-07-01",75,44,19.7809278097181,NA,0,NA
"SMC08335 2010-07-07",33.1699346405229,36,34.5911156914688,NA,0,NA
"SMC08766 2009-05-26",11.3636363636364,44,15.6095910948297,NA,0,NA
"SMC08845 2009-06-22",17.379679144385,44,24.4338665281408,NA,0,NA
"SMC09162 2011-08-01",78.2085561497326,44,17.1887380744536,NA,0,NA
"SMC09534 2009-06-17",3.47593582887701,44,7.64528884263879,NA,0,NA
"SMC09564 2010-06-01",32.4866310160428,44,32.8983656824307,NA,0,NA
"SMC09591 2010-06-03",11.3636363636364,44,23.4402457998117,NA,0,NA
