"","XWAK.result","XWDO.result","XWPH.result","XWSL.result","XWSC.result","XWTC.result","XWTF.result","XWTB.result"
"SMC02145 2011-07-19",280,7.46,7.69,1.43,2755,18.15,64.67,0.6
"SMC02152 2010-07-14",360,8.14,7.9,1.69,3221,18.81,65.858,0.9
"SMC02167 2010-06-07",NA,7.83,8.12,0.13,0.274,28.91,84.038,NA
"SMC02206 2011-07-19",150,8.99,8.11,0.47,961,21.31,70.358,NA
"SMC02228 2009-06-23",132,8.97,8.2,0.53,970,20.32,68.576,NA
"SMC02270 2010-06-30",283,9.07,7.67,0.89,1751,21.69,71.042,NA
"SMC02417 2011-07-20",200,17.59,8.2,0.99,1973,34.66,94.388,2
"SMC02436 2009-05-28",198,9.55,8.48,0.88,1707,17.77,63.986,NA
"SMC02452 2011-06-30",173,8.55,9.9,0.86,1700,21.47,70.646,NA
"SMC02457 2010-05-31",308,8.24,7.88,1.28,2481,19.51,67.118,7.6
"SMC02464 2011-06-22",NA,9.33,7.03,0.12,260,11.76,53.168,NA
"SMC02536 2011-06-29",259,13.9,8.53,0.76,1519,26.87,80.366,NA
"SMC02548 2010-07-09",320,8.75,7.98,0.69,1376,17.65,63.77,0.1
"SMC02563 2010-06-24",283,9.5,8.22,NA,1530,16.12,61.016,NA
"SMC02573 2010-06-09",NA,6.35,7.09,0.41,836,26.63,79.934,NA
"SMC02591 2011-07-21",172,9.07,7.9,0.43,876,14.81,58.658,NA
"SMC02622 2010-06-15",170,17.45,9.05,NA,1154,24.77,76.586,NA
"SMC02644 2011-06-30",304,8.6,8.08,1.03,2022,18.7,65.66,NA
"SMC02656 2009-06-23",132,16.82,8.86,0.62,1246,25.74,78.332,2.1
"SMC02749 2011-06-27",NA,12.31,7.83,0.67,1.344,25.3,77.54,NA
"SMC02804 2011-06-20",146,11.31,8.88,0.5,1104,30.37,86.666,NA
"SMC02884 2010-06-23",200,14.75,8.73,0.61,1190,23.3,73.94,NA
"SMC02902 2011-08-02",368,3.1,7.57,1.56,2996,21.93,71.474,2.6
"SMC02933 2010-06-01",284,8.19,7.5,1.26,2439.5,16.55,61.79,2.4
"SMC02947 2011-07-12",365,15.5,7.97,1.31,2552,24.58,76.244,NA
"SMC02976 2010-07-27",154,9.16,7.44,0.16,271,14.64,58.352,NA
"SMC02984 2010-06-23",216,6.72,7.4,1.16,1999,19.26,66.668,NA
"SMC03110 2011-07-26",388,7.36,7.76,1.43,2762,24.59,76.262,1.5
"SMC03133 2010-06-02",NA,10.44,8,0.36,747,23.94,75.092,NA
"SMC03216 2011-07-27",174,9.18,7.83,0.16,338,14.96,58.928,NA
"SMC03234 2011-06-28",NA,7.6,7.08,0.23,0.465,15.91,60.638,NA
"SMC03268 2009-05-28",251,5.44,7.69,0.84,1443,18351,33063.8,NA
"SMC03280 2011-08-11",179,10,8.15,0.17,355,14.71,58.478,NA
"SMC03304 2011-06-29",160,13.28,8.5,1.07,2110,29.4,84.92,NA
"SMC03510 2011-07-21",408,11.24,8.2,1.27,2458,23.12,73.616,2.9
"SMC03533 2010-06-01",NA,9.36,7.27,0.42,861,22.14,71.852,NA
"SMC03687 2010-06-02",NA,10.56,11.01,0.36,755,30.97,87.746,NA
